Date,Closing Price,Open,High,Low
2020-07-03,0.002319359,0.0023394717,0.0023447195,0.0022876914
2020-07-04,0.0023364817,0.0023222539,0.0023464971,0.0022920502
2020-07-05,0.0022859548,0.0022958362,0.0023381698,0.0022631673
2020-07-06,0.0025671252,0.0023242835,0.0025801661,0.0022874309
2020-07-07,0.0030460421,0.0026128393,0.0030506456,0.0025601355
2020-07-08,0.0045434034,0.0031363254,0.0055521094,0.0030515076
2020-07-09,0.0044481718,0.0047900321,0.0050645166,0.004061791
2020-07-10,0.0035100601,0.0043461944,0.0043517041,0.0034143693
2020-07-11,0.0037407423,0.0035276318,0.0039633657,0.0034498049
2020-07-12,0.0036662478,0.0038391104,0.003863984,0.0035799529
2020-07-13,0.0031349807,0.0036361395,0.0036407577,0.002989042
2020-07-14,0.0033053101,0.0031932019,0.0034076702,0.0030329481
2020-07-15,0.0030995718,0.0032710663,0.0033066155,0.0030525311
2020-07-16,0.002960778,0.0030972793,0.0031030482,0.0028548223
2020-07-17,0.0030606856,0.0029934683,0.003098015,0.0029183196
2020-07-18,0.0035554331,0.0030723977,0.0036963728,0.0030232074
2020-07-19,0.0034421398,0.003434978,0.003805318,0.0033069614
2020-07-20,0.003209512,0.0033605843,0.0034577585,0.0031349192
2020-07-21,0.0033314479,0.0032570012,0.0033394608,0.0031596707
2020-07-22,0.0032925453,0.0032973342,0.0033119339,0.0031973345
2020-07-23,0.0032995136,0.0032738491,0.0033424145,0.003256658
2020-07-24,0.0032320933,0.0033216663,0.0033282678,0.0031543271
2020-07-25,0.0032181744,0.0032266158,0.0032668012,0.0031604695
2020-07-26,0.0032171483,0.0032267888,0.0032958322,0.0031653523
2020-07-27,0.0032018611,0.003247536,0.0032817185,0.0030187307
2020-07-28,0.0031959015,0.0031466715,0.0032632032,0.0030934191
2020-07-29,0.0032185034,0.0032288486,0.0032922963,0.003157137
2020-07-30,0.0032383311,0.0031803403,0.003297594,0.0031202912
2020-07-31,0.0032127984,0.0032317311,0.0032899142,0.0031252314
2020-08-01,0.0037214543,0.0032400865,0.0038627845,0.0031957356
2020-08-02,0.0033613726,0.0036996394,0.0037647155,0.0031134722
2020-08-03,0.0033846403,0.0033700261,0.0034807071,0.0032808091
2020-08-04,0.0035220351,0.0033830969,0.0035741733,0.0033300073
2020-08-05,0.0034911712,0.0035586561,0.003589528,0.0034372601
2020-08-06,0.0035456361,0.0035104307,0.0036578549,0.0034215673
2020-08-07,0.003467752,0.0035873956,0.0036395727,0.0033655868
2020-08-08,0.0034725917,0.0035047948,0.0035501102,0.0034007354
2020-08-09,0.0034491764,0.0034858159,0.0035327197,0.0034053
2020-08-10,0.003466908,0.0034508911,0.0035573158,0.003401193
2020-08-11,0.0033461891,0.0034863742,0.0036091369,0.0032985238
2020-08-12,0.0034578302,0.0033651908,0.0035279998,0.0033213342
2020-08-13,0.0034826522,0.0034640746,0.0035460093,0.0033136176
2020-08-14,0.0035389617,0.0034664651,0.00357436,0.0034280944
2020-08-15,0.0035768914,0.0035972214,0.0036398394,0.0034659842
2020-08-16,0.0035189928,0.0035438039,0.0035618817,0.003430092
2020-08-17,0.0036194662,0.0035212309,0.0037551537,0.0034872205
2020-08-18,0.0035321934,0.0036294621,0.0037539298,0.0034132784
2020-08-19,0.0034215043,0.0035160612,0.0035583217,0.0033162424
2020-08-20,0.0034458291,0.0034459348,0.003513958,0.0033560696
2020-08-21,0.0034271111,0.0034460262,0.0035922249,0.0033708621
2020-08-22,0.0034506779,0.0034079477,0.0034522011,0.0033240055
2020-08-23,0.0034014027,0.003432943,0.00346208,0.0033692534
2020-08-24,0.0034001715,0.0034094763,0.0034920177,0.0033294924
2020-08-25,0.0033108429,0.0034117958,0.0034741401,0.0031902627
2020-08-26,0.0032998841,0.0033181421,0.0033666672,0.0032222059
2020-08-27,0.0031795475,0.0033024474,0.003313294,0.0031408925
2020-08-28,0.0032479485,0.0031972334,0.0032823492,0.0031709724
2020-08-29,0.0032809602,0.0032603831,0.0033070956,0.0032358206
2020-08-30,0.003304379,0.0032830692,0.0033503418,0.0032679906
2020-08-31,0.0032036486,0.0032974035,0.0033168839,0.0031856853
2020-09-01,0.0032400232,0.0032145926,0.0032988382,0.0031648939
2020-09-02,0.0031167746,0.0032718908,0.0032879203,0.0030315499
2020-09-03,0.0029215787,0.0031126967,0.0031434904,0.0028747835
2020-09-04,0.0029182832,0.0027775992,0.0029653661,0.0027016815
2020-09-05,0.002730362,0.0028776282,0.0029330915,0.0026881386
2020-09-06,0.0027623617,0.0027736715,0.0028284097,0.0026835479
2020-09-07,0.002838857,0.0027837136,0.0028417699,0.0026885247
2020-09-08,0.0027231472,0.0028273067,0.002844234,0.0026739586
2020-09-09,0.0028029683,0.0027747101,0.0028229724,0.0026767458
2020-09-10,0.0027983741,0.002803327,0.0028672467,0.0027375965
2020-09-11,0.0027957139,0.0028311696,0.0028410731,0.0027320854
2020-09-12,0.0027900554,0.0028011713,0.0028438622,0.0027473181
2020-09-13,0.0027647978,0.0028150983,0.0028243923,0.0027309208
2020-09-14,0.0027820765,0.0027849172,0.0028252631,0.0027345443
