Open,High,Low,Close
3.095330,3.119260,2.686580,2.807300
2.810200,3.092120,2.751090,3.035910
3.035190,3.049100,2.904660,3.022360
3.021450,3.046180,2.959140,3.028460
3.027770,3.027770,2.970630,2.974530
2.974230,2.974230,2.778630,2.778630
2.772780,2.893880,2.687810,2.850330
2.846740,2.908310,2.822340,2.860240
2.861430,3.116580,2.855970,3.103170
3.093580,3.305820,3.022620,3.305820
3.187730,3.820340,3.033050,3.736500
3.744120,4.343310,3.726640,4.086760
4.086000,4.114250,3.843700,3.924270
3.926640,4.162200,3.922680,4.065370
4.062330,4.130920,4.061010,4.115310
4.118320,4.139280,4.058460,4.113530
4.126900,4.952720,4.036970,4.952720
4.947000,5.690670,4.672240,5.417230
5.437070,5.484930,4.899270,5.234630
5.246780,6.388620,5.139400,6.361120
6.356450,7.833260,5.995810,7.536940
7.527010,8.727480,4.068630,4.505220
4.475770,4.789660,3.705330,4.373820
4.387510,5.384020,4.347780,5.287250
5.299920,5.299920,4.319900,4.679900
4.682840,4.887420,4.479810,4.649890
4.648960,4.720490,4.144640,4.214090
4.197480,4.267720,3.299720,3.689780
3.720790,3.933420,3.550290,3.786810
3.782990,4.225920,3.776850,4.001880
4.004380,4.074720,3.658950,3.766110
3.770320,3.938590,3.733740,3.938590
3.930530,4.007840,3.766210,3.766210
3.782980,3.840700,3.684240,3.823660
3.825540,3.850610,3.760510,3.784440
3.789460,4.725620,3.759730,4.601830
4.597760,4.881260,4.472340,4.631990
4.632550,4.752000,4.436930,4.662320
4.683130,4.739740,4.586120,4.671370
4.670010,5.136690,4.650210,5.058400
5.049620,5.099080,4.723980,4.797680
4.792620,4.792620,4.508060,4.578030
4.582200,4.766970,4.509860,4.641040
4.639080,4.644180,4.072900,4.153200
4.087380,4.199080,3.858910,4.174910
4.169470,4.374250,4.038770,4.162190
4.183420,4.472260,4.182620,4.377930
4.374330,4.425430,4.301050,4.349220
4.349000,4.362230,4.023670,4.064670
4.063340,4.220690,3.970270,4.208280
4.220990,4.223640,3.835420,3.854750
3.843390,3.984260,3.811390,3.898590
3.900800,3.980130,3.897610,3.948880
3.948740,4.159550,3.942950,4.159550
4.143340,4.157550,3.974440,3.985450
3.972270,3.972510,3.840410,3.880340
3.880690,4.067310,3.864800,4.026230
4.022490,4.041870,3.915110,3.925460
3.932030,3.986540,3.892360,3.952280
3.963320,4.034990,3.935340,3.983960
3.983680,3.999570,3.437700,3.469710
3.479650,3.619150,3.358540,3.477820
3.470810,3.624970,3.470810,3.605090
3.600230,3.643090,3.548290,3.565020
3.562560,3.590790,3.458970,3.511230
3.513280,3.540090,3.353160,3.394470
3.392580,3.392580,2.966110,2.994740
2.984770,3.053190,2.543790,2.937200
2.949690,3.039670,2.836580,2.946510
2.946140,2.990200,2.836450,2.866050
2.842390,2.960030,2.705220,2.906290
2.916160,2.946500,2.824300,2.876510
2.871560,2.905300,2.759340,2.848400
2.853230,2.862480,2.789970,2.842070
2.847420,2.875490,2.805630,2.820010
2.819810,2.828130,2.757300,2.795450
2.796690,2.804460,2.579970,2.633140
2.638140,2.724670,2.633340,2.701120
2.702050,2.943050,2.661530,2.919540
2.917820,3.115150,2.903310,3.048070
3.039000,3.103860,2.986690,3.045900
3.047370,3.128620,3.014000,3.047380
3.048280,3.051450,2.910410,2.923920
2.924650,2.971540,2.892880,2.949360
2.948780,2.984390,2.940120,2.957460
2.962570,2.970820,2.822920,2.825550
2.824790,2.854670,2.774920,2.815940
2.814920,2.862370,2.778060,2.844650
2.844200,2.934340,2.816790,2.823190
2.829940,2.845610,2.774110,2.802980
2.806220,2.929580,2.795930,2.906370
2.910620,3.007320,2.895980,2.956960
2.954910,2.961100,2.859990,2.873580
2.875070,2.875240,2.829860,2.846440
2.853720,2.855000,2.795230,2.799130
2.798470,2.878780,2.795870,2.844650
2.855050,2.897290,2.851860,2.865550
2.871510,2.948360,2.870720,2.929980
2.933240,2.948780,2.887030,2.892860
2.894720,2.904420,2.868450,2.886880
2.888990,2.897410,2.865050,2.871160
2.881330,3.075250,2.878110,3.072800
3.102650,3.172000,2.969990,2.969990
2.966090,3.049180,2.966090,3.009780
3.013900,3.052720,2.955970,3.001920
2.996830,3.015220,2.976730,2.993200
2.998670,3.037140,2.990690,3.030080
3.032920,3.057360,2.997980,3.014360
3.021060,3.032540,2.985710,3.015990
3.020120,3.155900,3.010680,3.145930
3.148970,3.162400,3.055870,3.058580
3.061340,3.076970,3.047680,3.064030
3.069130,3.112120,3.064460,3.107970
3.112350,3.135980,3.088470,3.105990
3.108680,3.150260,3.084980,3.145040
3.149030,3.172990,3.132530,3.137200
3.139090,3.188840,3.112750,3.179740
3.181530,3.195900,3.098900,3.144180
3.149950,3.159390,3.099120,3.104890
3.108640,3.142050,3.094730,3.107350
3.111240,3.155790,3.035110,3.071540
3.074110,3.084120,3.004980,3.022790
3.030620,3.054800,3.006690,3.047970
3.052580,3.094730,3.052580,3.092600
3.093440,3.116330,3.062300,3.075150
3.080790,3.141280,3.072330,3.114650
3.120430,3.128120,3.092930,3.111540
3.112660,3.119650,3.077770,3.099860
3.109720,3.139010,3.065790,3.065790
3.071100,3.107860,3.065570,3.104430
3.107030,3.107680,3.082000,3.094550
3.099300,3.110530,3.085580,3.100770
3.102480,3.929440,3.058510,3.782210
3.768570,4.199040,3.740300,4.061680
4.083560,4.115200,3.765420,3.804330
3.815090,3.986620,3.768950,3.959300
3.982890,4.201580,3.939170,4.164900
4.174970,4.795920,4.100500,4.589800
4.579900,5.324500,4.054510,4.230220
4.199550,4.411890,3.767630,3.961640
3.945240,3.970910,3.451450,3.548010
3.551240,3.677680,3.548560,3.598870
3.619870,3.657730,3.409950,3.419070
3.432860,3.448080,3.259310,3.396620
3.400390,3.455450,3.041430,3.115150
3.117110,3.121010,2.942580,2.969390
2.972150,3.286110,2.972150,3.278700
3.268640,3.287290,3.154600,3.225990
3.223370,3.245850,3.182680,3.194610
3.198640,3.218440,3.055060,3.065800
3.066450,3.194100,3.047430,3.189450
3.190370,3.226760,3.163170,3.201980
3.198910,3.209310,3.168340,3.185510
3.191230,3.214270,3.127100,3.133610
3.136040,3.140760,3.069380,3.115570
3.117440,3.160520,3.105640,3.150270
3.163290,3.163550,3.114820,3.136830
3.143890,3.146720,3.111330,3.124100
3.130360,3.130700,3.087870,3.107830
3.113830,3.344440,3.092770,3.344440
3.351390,3.716310,3.351390,3.608340
3.601400,3.628430,3.519320,3.578610
3.575410,3.578950,3.464770,3.522590
3.534360,3.680600,3.499240,3.669730
3.664370,3.737460,3.579290,3.621220
3.626080,3.635160,3.402480,3.434900
3.430930,3.435500,3.303660,3.342250
3.346720,3.441070,3.336910,3.377490
3.382330,3.387350,3.343740,3.361810
3.369940,3.540740,3.369940,3.523720
3.525380,3.578420,3.447690,3.473100
3.452550,3.691690,3.447110,3.645140
3.647670,3.686920,3.545080,3.686920
3.682820,3.740530,3.607260,3.669030
3.669640,3.679450,3.589640,3.663940
3.672990,3.854860,3.671010,3.836450
3.842520,3.973310,3.501630,3.606330
3.596300,3.662940,3.568640,3.626740
3.636880,3.672350,3.600130,3.614570
3.618420,3.839250,3.612580,3.833770
3.838910,3.839350,3.678310,3.698920
3.704110,3.791590,3.679400,3.740000
3.751320,3.806070,3.730570,3.756960
3.765160,3.776840,3.706670,3.720620
3.740560,3.745090,3.482610,3.536120
3.546210,3.546210,3.428690,3.458690
3.458780,3.477650,3.400040,3.419530
3.432380,3.592030,3.431020,3.578070
3.590190,3.684380,3.590190,3.644000
3.648880,3.680040,3.604000,3.624750
3.641140,3.644730,3.382790,3.424420
3.420320,3.492490,3.393420,3.479050
3.477810,3.529720,3.456750,3.466030
3.470630,3.517280,3.436460,3.500260
3.512000,3.512140,3.446300,3.459140
3.459300,3.497400,3.414170,3.480170
3.479520,3.531020,3.469250,3.508980
3.515280,3.527120,3.492190,3.502160
3.504000,3.506430,3.450860,3.483070
3.479100,3.507230,3.476150,3.495390
3.492000,3.508190,3.453720,3.469670
3.467060,3.467860,3.444800,3.453560
3.450070,3.611550,3.442690,3.604140
3.596800,3.641420,3.533580,3.568880
3.574350,3.585570,3.543600,3.560570
3.559160,3.560190,3.496820,3.536720
3.526270,3.569220,3.526270,3.556620
3.553020,3.556170,3.493680,3.493680
3.489980,3.492100,3.432810,3.476020
3.470930,3.480960,3.448680,3.465990
3.464040,3.464410,2.996780,2.996780
2.965720,3.107180,2.919460,3.086940
3.087320,3.100220,3.024760,3.026190
3.019550,3.057270,2.977630,3.048960
3.047660,3.055340,2.994170,3.017440
3.014800,3.434500,2.990700,3.388530
3.384230,3.401860,3.205360,3.220780
3.231050,3.243190,3.048920,3.076570
3.082030,3.147570,3.078140,3.103480
3.113510,3.208240,3.099790,3.181000
3.187950,3.187950,3.105050,3.127280
3.125370,3.171180,3.123320,3.154820
3.159350,3.320190,3.156520,3.287450
3.292860,3.300340,3.112140,3.120160
3.138400,3.139740,3.061140,3.111380
3.118130,3.123820,3.075120,3.080800
3.096930,3.113870,3.043660,3.052160
3.073430,3.102030,3.057490,3.077240
3.088010,3.096480,3.069510,3.075870
3.086390,3.088890,3.037910,3.047530
3.057530,3.182270,3.056110,3.162770
3.171510,3.171510,3.135750,3.137410
3.149970,3.154270,3.077350,3.099000
3.109600,3.125830,3.079140,3.085960
3.091900,3.107310,3.056580,3.062160
3.076080,3.082230,3.050940,3.081550
3.088980,3.133490,3.077450,3.095250
3.112140,3.125650,3.070760,3.075620
3.092240,3.116120,3.082860,3.111870
3.118120,3.140510,3.114050,3.129690
3.147730,3.213070,3.147730,3.210590
3.232040,3.252980,3.170720,3.182510
3.202270,3.224520,3.179540,3.209010
3.227310,3.264870,3.201640,3.241030
3.245200,3.273550,3.230260,3.251430
3.260450,3.272570,3.230540,3.252790
3.268110,3.501720,3.260650,3.457990
3.459970,3.583640,3.400120,3.464270
3.465920,3.512630,3.432410,3.483630
3.488810,3.524700,3.380360,3.396930
3.403270,3.424820,3.324230,3.374870
3.386110,3.399820,3.333640,3.365520
3.369490,3.416790,3.324230,3.416790
3.428810,3.449050,3.392770,3.412880
3.414160,3.468980,3.357910,3.441860
3.441200,3.489750,3.420490,3.446110
3.448350,3.454290,3.410130,3.432970
3.434360,3.440490,3.365020,3.365020
3.363740,3.363740,3.305260,3.323530
3.321500,3.348730,3.247510,3.250230
3.251720,3.251860,3.132970,3.192160
3.191490,3.253640,3.174290,3.221650
3.221620,3.272640,3.201260,3.267750
3.271410,3.275640,3.226840,3.254220
3.250550,3.298940,3.239330,3.279850
3.277910,3.291520,3.251330,3.287550
3.286320,3.404060,3.286010,3.384700
3.391130,3.391920,3.274970,3.290180
3.289420,3.324380,3.284040,3.307400
3.309090,3.327900,3.290750,3.303520
3.303290,3.327280,3.287040,3.305780
3.307110,3.317990,3.295340,3.309390
3.311360,3.324750,3.295350,3.307390
3.307150,3.307150,3.152820,3.169810
3.170780,3.194680,3.159610,3.178250
3.181530,3.210360,3.178240,3.205550
3.205190,3.206760,3.188030,3.200910
3.200040,3.240060,3.198040,3.234720
3.233840,3.254180,3.221600,3.242800
3.245020,3.251090,3.216390,3.224700
3.227840,3.237000,3.214300,3.229070
3.227720,3.238970,3.212600,3.230570
3.231820,3.324950,3.225090,3.303600
3.302910,3.302910,3.256820,3.264060
3.261760,3.283000,3.196290,3.226330
3.226650,3.277020,3.203010,3.219410
3.225480,3.266480,3.221840,3.257070
3.245750,3.255150,3.231130,3.239950
3.245900,3.275740,3.244860,3.262110
3.261450,3.274700,3.246800,3.262680
3.261300,3.268420,3.222030,3.250590
3.246040,3.271080,3.241440,3.251650
3.258520,3.263600,3.242750,3.255930
3.257010,3.260890,3.227780,3.245320
3.241910,3.253980,3.214400,3.220270
3.224020,3.226150,3.198170,3.216200
3.221860,3.252360,3.211680,3.226990
3.227450,3.243790,3.213850,3.241770
3.240140,3.276790,3.231450,3.257320
3.262950,3.270580,3.236030,3.238860
3.245740,3.255820,3.233760,3.239610
3.243210,3.284760,3.241530,3.278830
3.279850,3.294060,3.268270,3.273820
3.280050,3.283750,3.251470,3.257770
3.260370,3.271020,3.239180,3.240390
3.248900,3.292950,3.242500,3.285170
3.291750,3.294730,3.266620,3.278380
3.280930,3.351760,3.273470,3.346400
3.346790,3.348090,3.306860,3.319270
3.320780,3.339720,3.305260,3.334470
3.346360,3.645350,3.346360,3.631830
3.622860,3.874240,3.550760,3.811720
3.795590,4.114480,3.786380,4.045800
4.048610,4.229930,3.868930,3.889710
3.878860,3.879440,3.686310,3.788500
3.792070,3.846850,3.723500,3.813600
3.813480,3.815050,3.643850,3.659750
3.657500,3.720450,3.643110,3.705200
3.708710,3.781360,3.638680,3.680310
3.682110,3.758760,3.662390,3.740910
3.741840,3.779760,3.731120,3.746790
3.741810,3.764020,3.706880,3.713850
3.716130,3.822110,3.706000,3.822110
3.819520,4.003440,3.819520,3.953450
3.936410,3.944110,3.886200,3.938140
3.937630,4.083380,3.898630,4.056430
4.057970,4.115630,3.798380,3.819150
3.820330,3.913770,3.814440,3.882270
3.881340,3.896720,3.796350,3.856800
3.855270,3.961670,3.828790,3.925680
3.927280,4.045180,3.920240,4.010120
4.014090,4.102010,3.966540,4.063120
4.063080,4.162770,3.979690,4.006530
4.003640,4.034970,3.974400,3.983130
3.979800,4.042840,3.975100,4.003220
4.002440,4.034380,3.833390,3.833390
3.824930,3.918870,3.817890,3.881010
3.883520,3.973420,3.878580,3.954490
3.956590,3.986670,3.904650,3.929700
3.922930,3.973080,3.899460,3.968190
3.963880,3.984600,3.938870,3.951410
3.950810,4.045660,3.947570,4.045660
4.045260,4.104510,4.026870,4.082470
4.089420,4.683270,4.087260,4.501330
4.510950,4.833300,4.506530,4.700680
4.688730,4.864990,4.579670,4.609620
4.632640,4.702750,4.585070,4.670870
4.687600,4.749440,4.604790,4.650390
4.653290,4.773310,4.621040,4.740990
4.744650,4.759480,4.679560,4.715050
4.719580,4.865720,4.705560,4.860970
4.863190,4.902470,4.770220,4.808040
4.798430,4.842590,4.786220,4.812910
4.814460,4.966470,4.810360,4.959160
4.954820,4.980210,4.722500,4.770780
4.774290,4.786930,4.689620,4.748170
4.777880,4.779340,4.674780,4.693120
4.752000,4.849520,4.713150,4.840000
4.882340,5.013980,4.840370,5.013980
5.067300,5.455440,5.046590,5.333580
5.414650,5.541530,5.158630,5.290320
5.305180,5.306930,5.097360,5.204020
5.223100,5.242030,5.108730,5.239780
5.253050,5.660790,5.253050,5.660790
5.672430,5.946370,5.280940,5.593270
5.603990,5.693990,5.488940,5.559950
5.560370,5.626460,5.507410,5.593780
5.625190,5.625190,5.269200,5.294540
5.273550,5.286460,4.695820,4.821750
4.827530,4.919020,3.880860,3.910700
3.918140,3.946290,3.466070,3.850510
3.851830,4.329410,3.847190,4.279100
4.274600,4.435710,3.924840,4.233070
4.243010,4.243010,3.971560,4.074310
4.051530,4.155020,4.028350,4.119850
4.137750,4.182620,4.066780,4.100660
4.101690,4.101690,4.030140,4.061880
4.077380,4.210440,4.044710,4.193500
4.193490,4.333940,4.176020,4.255970
4.277770,4.607760,4.240990,4.589920
4.660930,4.660930,4.185370,4.253290
4.272690,4.540560,4.213720,4.540560
4.557790,4.557790,4.357450,4.452280
4.464460,4.507380,4.421910,4.468220
4.496560,4.526150,3.953990,4.111880
4.115670,4.226210,4.075170,4.219910
4.237390,4.237390,3.970790,4.163070
4.121570,4.150270,4.063260,4.099830
4.121180,4.191050,4.061300,4.085440
4.092190,4.211740,4.088130,4.153280
4.162830,4.181740,4.133410,4.138550
4.140980,4.175350,4.123570,4.148460
4.154460,4.180840,4.147160,4.159770
4.152710,4.164800,4.114450,4.132670
4.137720,4.208640,4.130770,4.189890
4.199390,4.204440,4.138350,4.148220
4.152750,4.166010,4.138460,4.149160
4.149990,4.162870,4.112480,4.125060
4.133190,4.139290,4.111690,4.120230
4.125780,4.141990,4.026180,4.038290
4.042600,4.064070,4.030470,4.057000
4.063750,4.084080,4.037870,4.070670
4.072620,4.075700,4.030450,4.032040
4.037190,4.046060,3.930990,3.970240
3.964910,3.986350,3.934710,3.955890
3.965760,3.989530,3.963880,3.967740
3.974790,4.096100,3.958180,4.077440
4.082660,4.094320,4.059670,4.061810
4.079580,4.083760,3.970250,4.013820
4.062910,4.062910,3.863420,3.863420
3.871690,3.887690,3.519130,3.639580
3.639430,3.736480,3.591770,3.719230
3.711970,3.752560,3.707420,3.748450
3.742010,3.742010,3.699110,3.729040
3.721160,3.770940,3.695170,3.760180
3.758680,3.810020,3.745970,3.780320
3.774510,3.797810,3.747810,3.785510
3.782840,3.784850,3.742340,3.759750
3.761760,3.807340,3.719500,3.722420
3.717410,3.747350,3.640160,3.742170
3.738460,3.750390,3.685470,3.709350
3.708670,3.754600,3.684150,3.714410
3.715710,3.722460,3.612570,3.650210
